time,open,high,low,close,Volume
1771361640,1.35608,1.3562,1.35603,1.35612,299
1771361820,1.35612,1.3563,1.35608,1.35624,384
1771362000,1.35624,1.35632,1.35612,1.35618,238
1771362180,1.35616,1.35622,1.35612,1.35614,104
1771362360,1.35608,1.35609,1.35602,1.35608,83
1771362540,1.35611,1.3563,1.35609,1.35628,121
1771362720,1.35629,1.35636,1.35624,1.35626,89
1771362900,1.35625,1.35625,1.3562,1.35622,53
1771363080,1.3562,1.35622,1.35617,1.35621,63
1771363260,1.35622,1.35622,1.35612,1.35614,63
1771363440,1.35614,1.35632,1.35612,1.3563,95
1771363620,1.35632,1.3564,1.35625,1.35628,115
1771363800,1.35628,1.35642,1.3562,1.35642,115
1771363980,1.35643,1.35674,1.35642,1.35672,92
1771364160,1.35672,1.3568,1.35671,1.35679,47
1771364340,1.3568,1.35692,1.3567,1.35673,123
1771364520,1.35673,1.35684,1.35667,1.35683,55
1771364700,1.35682,1.35682,1.3565,1.35652,126
1771364880,1.35653,1.35664,1.35649,1.35662,139
1771365060,1.35662,1.35674,1.35662,1.35674,218
1771365240,1.35674,1.3568,1.35668,1.35676,86
1771365420,1.35676,1.35684,1.35672,1.35675,125
1771365780,1.35645,1.35663,1.35631,1.35647,12
1771365960,1.3564,1.35658,1.35638,1.35658,5
1771366140,1.35637,1.35638,1.35637,1.35638,2
1771366320,1.35638,1.357,1.35628,1.35677,62
1771366500,1.35682,1.35684,1.35621,1.35641,142
1771366680,1.35638,1.35664,1.35622,1.35652,136
1771366860,1.35654,1.35666,1.35632,1.35641,63
1771367040,1.35628,1.35652,1.3562,1.35628,57
1771367220,1.35621,1.3564,1.35621,1.35627,58
1771367400,1.35626,1.35658,1.35622,1.35656,235
1771367580,1.35654,1.35668,1.35652,1.35664,105
1771367760,1.35665,1.35667,1.35657,1.35666,84
1771367940,1.35661,1.3567,1.35656,1.35656,157
1771368120,1.35656,1.35667,1.35656,1.35664,127
1771368300,1.35662,1.35669,1.35656,1.3566,197
1771368480,1.35658,1.35668,1.35656,1.3566,168
1771368660,1.3566,1.35662,1.3565,1.35658,46
1771368840,1.35658,1.35674,1.35644,1.35664,166
1771369020,1.35662,1.3567,1.35636,1.35656,393
1771369200,1.35656,1.35702,1.35656,1.35688,145
1771369380,1.35688,1.35717,1.35683,1.35714,137
1771369560,1.35714,1.35726,1.35708,1.35708,55
1771369740,1.3571,1.35716,1.35692,1.35698,84
1771369920,1.35695,1.35695,1.35681,1.35681,102
1771370100,1.35682,1.35688,1.35669,1.35686,118
1771370280,1.35684,1.35696,1.35682,1.35682,68
1771370460,1.35683,1.35684,1.35669,1.35669,93
1771370640,1.35672,1.3568,1.35668,1.35679,48
1771370820,1.35678,1.3568,1.35656,1.35668,109
1771371000,1.35668,1.3567,1.3566,1.35668,66
1771371180,1.35668,1.35668,1.35661,1.35664,141
1771371360,1.35664,1.35666,1.35652,1.35658,65
1771371540,1.35657,1.3567,1.35654,1.35656,86
1771371720,1.35654,1.3566,1.3565,1.35654,72
1771371900,1.35655,1.35655,1.35638,1.35641,35
1771372080,1.35642,1.3567,1.35626,1.35644,139
1771372260,1.35644,1.35649,1.3563,1.35631,78
1771372440,1.3563,1.35634,1.35628,1.35628,38
1771372620,1.3563,1.35648,1.35626,1.3563,51
1771372800,1.3563,1.3566,1.35626,1.35646,213
1771372980,1.35646,1.35662,1.35644,1.35652,265
